Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Microtubule Binding (GO:0008017),6/239,0.964366808823084,0.9999953487767658,0,0,0.5352929764208753,0.0194223292969855,C10ORF90;KIF19;MAP7D3;DST;CCDC69;STARD9
GO_Molecular_Function_2023,Ubiquitin Protein Ligase Binding (GO:0031625),7/271,0.966713833678412,0.9999953487767658,0,0,0.5508771489731754,0.0186487115862413,NGFR;EGR2;MAP1LC3C;DIO2;DTX1;RNF186;FOXO1
GO_Molecular_Function_2023,Protein Phosphatase Binding (GO:0019903),2/115,0.9701630138877836,0.9999953487767658,0,0,0.3686311842475933,0.0111662684132686,ANK1;FOXO1
GO_Molecular_Function_2023,Phospholipase Activity (GO:0004620),1/77,0.9728058748418028,0.9999953487767658,0,0,0.2742815096952908,0.0075621410865719,ENPP2
GO_Molecular_Function_2023,Ubiquitin Protein Ligase Activity (GO:0061630),8/311,0.975030255855285,0.9999953487767658,0,0,0.5480079499662673,0.0138573547260074,C10ORF90;TRIM50;NEURL1;DTX1;LONRF3;RNF150;NCCRP1;RNF186
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),1/83,0.9794772341740938,0.9999953487767658,0,0,0.2541318998716303,0.0052697512900007,INSM1
GO_Molecular_Function_2023,Ubiquitin-Like Protein Ligase Binding (GO:0044389),7/289,0.9797580171600992,0.9999953487767658,0,0,0.5152216116355893,0.0105361063048859,NGFR;EGR2;MAP1LC3C;DIO2;DTX1;RNF186;FOXO1
GO_Molecular_Function_2023,Tubulin Binding (GO:0015631),8/322,0.9814198305409276,0.9999953487767658,0,0,0.5285005454481473,0.0099120008560988,C10ORF90;KIF19;MAP7D3;DST;CCDC69;STARD9;NLRP5;SNCA
GO_Molecular_Function_2023,Kinase Binding (GO:0019900),12/460,0.9892648131717104,0.9999953487767658,0,0,0.5541164579039163,0.0059807034317906,TSKS;CNKSR2;ACTA2;ZFP36;GSN;NR4A3;CAV2;CAV1;SPRY2;ANK2;PTN;FERMT2
GO_Molecular_Function_2023,Cysteine-Type Deubiquitinase Activity (GO:0004843),1/98,0.9898492967614748,0.9999953487767658,0,0,0.2146635919696147,0.0021901209534383,USP44
GO_Molecular_Function_2023,Ubiquitin-Protein Transferase Activity (GO:0004842),10/412,0.991835026639408,0.9999953487767658,0,0,0.5147297840807039,0.0042200066365411,C10ORF90;TRIM50;MAGEL2;NEURL1;DTX1;LONRF3;RNF150;KLHL13;NCCRP1;RNF186
GO_Molecular_Function_2023,GTPase Activity (GO:0003924),5/265,0.9940275141883756,0.9999953487767658,0,0,0.3987419518807184,0.0023886207735224,RGS2;GNAL;RHOJ;GNG11;GEM
GO_Molecular_Function_2023,Phosphatase Binding (GO:0019902),1/112,0.9947400585790896,0.9999953487767658,0,0,0.18745060850324,0.0009885814455577657,ANK1
GO_Molecular_Function_2023,Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),5/270,0.9949475782638676,0.9999953487767658,0,0,0.3911146205635442,0.0019810848733294,RGS2;GNAL;RHOJ;GNG11;GEM
GO_Molecular_Function_2023,Deubiquitinase Activity (GO:0101005),1/113,0.9949814029507826,0.9999953487767658,0,0,0.185767152255639,0.0009346377338498518,USP44
GO_Molecular_Function_2023,GTP Binding (GO:0005525),3/201,0.9954167207021138,0.9999953487767658,0,0,0.3145021645021645,0.0014447646746422,RHOJ;PCK1;GEM
GO_Molecular_Function_2023,Ubiquitin-Like Protein Transferase Activity (GO:0019787),4/240,0.9957488276135732,0.9999953487767658,0,0,0.3514944714810464,0.0014974488076752,MAGEL2;NEURL1;KLHL13;RNF186
GO_Molecular_Function_2023,mRNA Binding (GO:0003729),5/282,0.9966341444242366,0.9999953487767658,0,0,0.3739324734808124,0.0012607256032106,ZFP36;CELF2;CELF3;SAMD4A;RBMS3
GO_Molecular_Function_2023,Cadherin Binding (GO:0045296),6/319,0.9969357585218492,0.9999953487767658,0,0,0.396786090436118,0.0012177150370117,CCL13;PTPRB;ANXA1;TRIM29;PKP1;CDH7
GO_Molecular_Function_2023,Adenyl Ribonucleotide Binding (GO:0032559),5/309,0.9986794293965928,0.9999953487767658,0,0,0.3402322919081845,0.0004495976911521224,ABCB1;EPB42;PDE2A;PDK4;SYN2
GO_Molecular_Function_2023,ATP Binding (GO:0005524),4/279,0.9989762296167216,0.9999953487767658,0,0,0.301022102210221,0.000308335372210586,ABCB1;EPB42;PDK4;SYN2
GO_Molecular_Function_2023,Small GTPase Binding (GO:0031267),2/199,0.9990693856073456,0.9999953487767658,0,0,0.2105122390188725,0.0001959969323956812,NGFR;CAV1
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activity (GO:0004674),5/342,0.999592690639318,0.9999953487767658,0,0,0.3063765539418815,0.00012481545929238864,ACVR1C;PAK3;SGK2;MYLK;TGFBR2
GO_Molecular_Function_2023,GTPase Binding (GO:0051020),2/225,0.99969256194925,0.9999953487767658,0,0,0.1857122464349529,5.710378943308223e-05,NGFR;CAV1
GO_Molecular_Function_2023,Purine Ribonucleoside Triphosphate Binding (GO:0035639),7/476,0.9999482591008044,0.9999953487767658,0,0,0.3067114757339132,1.5869938114014662e-05,ABCB1;EPB42;RHOJ;PDK4;PCK1;SYN2;GEM
GO_Molecular_Function_2023,RNA Binding (GO:0003723),14/1411,0.9999941170848368,0.9999953487767658,0,0,0.1971967580298797,1.1600952103071813e-06,DMGDH;LRP1;CAVIN1;ZFR2;COL14A1;CELF2;CELF3;SAMD4A;BICC1;DCN;ZFP36;KCTD12;NECTIN3;TNS1
GO_Molecular_Function_2023,Olfactory Receptor Activity (GO:0004984),2/362,0.9999953487767658,0.9999953487767658,0,0,0.1142029515794609,5.311846571343205e-07,OR3A2;OR10A6
